rooms_No,ownership_form,interior_state,floor,balcony,parking_space,listing_type,description,year_built,building_type,lift,link2
2,pełna własność,do wykończenia,1/8,taras,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-55m2-taras-bez-prowizji-ID4fYA6
3,pełna własność,do zamieszkania,parter/3,balkon,N/A,,,,,,https://www.otodom.pl/pl/oferta/saska-kepa-bezposrednio-3-pok-ID4neE3
3,pełna własność,do zamieszkania,6/8,"balkon, taras",garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/3-pokoje-gotowe-do-wprowadzenia-ID4ns9Z
3,pełna własność,N/A,9/23,balkon,N/A,,,,,,https://www.otodom.pl/pl/oferta/wykonczony-apartament-bliska-wola-tower-ID4n2Ex
3,pełna własność,do wykończenia,2,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/przestronne-mieszkanie-na-bialolece-nowe-osiedle-ID4mEZg
2,pełna własność,do remontu,5/8,N/A,N/A,,,,,,https://www.otodom.pl/pl/oferta/2-pokoje-w-kamienicy-piwnica-winda-srodmiescie-ID4neuL
2,pełna własność,N/A,N/A,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/gotowa-inwestycja-na-wynajem-faktura-vat-23-ID4npFY
4,pełna własność,do wykończenia,1/7,N/A,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/4-pokojowe-mieszkanie-77m2-loggia-ID4imn7
5,pełna własność,do wykończenia,1/2,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/osiedle-tawulkowa-pietro-poddasze-158m2-12d-ID4lr8a
4,pełna własność,do zamieszkania,5/5,"balkon, taras",garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/galeria-polnocna-4-pokoje-2023r-77-m2-kw-ID4nm6p
2,pełna własność,do zamieszkania,3/8,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/dwa-pokoje-z-oddzielna-kuchnia-do-wprowadzenia-ID4n6vQ
3,spółdzielcze wł. prawo do lokalu,do zamieszkania,parter/6,taras,N/A,,,,,,https://www.otodom.pl/pl/oferta/okazja-ursynow-kabaty-3p-58-m2-ID4hdBW
3,spółdzielcze wł. prawo do lokalu,do remontu,8/8,balkon,N/A,,,,,,https://www.otodom.pl/pl/oferta/ursynow-metro-imielin-3-pokoje-63m2-balkon-ID4mF8j
4,pełna własność,do wykończenia,parter/4,"taras, ogródek",garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/4-pokojowe-mieszkanie-72m2-ogrodek-ID4c9kF
3,pełna własność,do wykończenia,1/7,N/A,N/A,,,,,,https://www.otodom.pl/pl/oferta/pasaz-abrahama-nowe-mieszkanie-m1-ID4kc1I
2,pełna własność,do wykończenia,4/5,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/mieszkanie-35-30-m-warszawa-ID4ns0h
3,pełna własność,do wykończenia,2/5,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/mieszkanie-62-75-m-warszawa-ID4ns0i
3,pełna własność,do zamieszkania,2/2,"balkon, ogródek",garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/nowoczesne-dwupoziomowe-mieszkanie-w-przedwojennej-ID4nseO
3,pełna własność,do zamieszkania,1/2,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/ciche-po-remoncie-garaz-metro-ID4lOYV
5,pełna własność,do zamieszkania,3/4,"balkon, taras",garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/107-m2-w-kamienicy-na-starym-zoliborzu-ID4n4oX
4,pełna własność,do wykończenia,1/5,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/mieszkanie-90-24-m-warszawa-ID4ns0j
2,pełna własność,do zamieszkania,4/7,N/A,N/A,,,,,,https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-ursynow-pileckiego-ID4nsmd
6,pełna własność,do zamieszkania,2/2,"balkon, ogródek",N/A,,,,,,https://www.otodom.pl/pl/oferta/duze-mieszkanie-na-bielanach-w-kameralnym-budynku-ID4nsbh
2,pełna własność,do remontu,3/3,N/A,N/A,,,,,,https://www.otodom.pl/pl/oferta/mieszkanie-2-pokoje-al-solidarnosci-ID4nsms
3,spółdzielcze wł. prawo do lokalu,do zamieszkania,4/4,balkon,N/A,,,,,,https://www.otodom.pl/pl/oferta/trzy-pokoje-w-swietnej-lokalizacji-ID4lK4l
3,pełna własność,do remontu,1/2,taras,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/mieszkanie-67m2-3-pokoje-1986r-ID4nkrM
5,pełna własność,do wykończenia,2/5,N/A,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/5-pokojowe-mieszkanie-134m2-2-loggie-ID4fsoU
1,pełna własność,do zamieszkania,10/15,N/A,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/rezerwacja-przestrzenna-sloneczna-kawalerka-ID4newK
3,pełna własność,do wykończenia,1/8,taras,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-53m2-taras-bez-posrednikow-ID4jBdV
3,pełna własność,N/A,2/2,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/eco-berensona-kredyt-2-bezposrednio-ostatnie-p-ID4npw7
3,pełna własność,do zamieszkania,1/5,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/gotowy-apartament-na-starych-bielanach-ID4nnxG
2,pełna własność,do wykończenia,1/8,taras,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-50m2-taras-bez-posrednikow-ID4ikIw
2,pełna własność,do wykończenia,4/5,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-38m2-balkon-ID4fsp2
1,pełna własność,N/A,2/6,balkon,N/A,,,,,,https://www.otodom.pl/pl/oferta/stara-ochota-kawalerka-balkon-ID4nqOG
6,N/A,do zamieszkania,1/5,"balkon, taras",garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/luksusowy-apartament-przy-lazienkach-krolewskich-ID4dggB
1,pełna własność,do wykończenia,1/16,N/A,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-37m2-bez-prowizji-ID4fC0a
1,pełna własność,N/A,1/4,balkon,N/A,,,,,,https://www.otodom.pl/pl/oferta/ul-apartamentowa-8-ursus-ID4nirs
2,pełna własność,do zamieszkania,parter/7,N/A,N/A,,,,,,https://www.otodom.pl/pl/oferta/swietne-mieszkanie-idealne-pod-wynajem-ID4ns0T
2,pełna własność,do remontu,4/6,balkon,N/A,,,,,,https://www.otodom.pl/pl/oferta/kamienica-z-konca-okresu-belle-epoque-1912-rok-ID4lw9d
2,pełna własność,do wykończenia,1/6,balkon,N/A,,,,,,https://www.otodom.pl/pl/oferta/bezposrednio-2-pokojowe-mieszkanie-38-3-m2-ID4nk04
4,pełna własność,do zamieszkania,3/4,N/A,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/sloneczne-spokojna-okolica-lotnisko-bemowo-ID4mLoT
3,pełna własność,do zamieszkania,1/4,balkon,N/A,,,,,,https://www.otodom.pl/pl/oferta/sprzedam-3-pokojowe-dolny-mokotow-gierymskiego-ID4nayL
2,pełna własność,do zamieszkania,3/5,N/A,N/A,,,,,,https://www.otodom.pl/pl/oferta/piekne-mieszkanie-na-bluszczanskiej-66-6-m2-ID4ns1i
3,pełna własność,do zamieszkania,parter/2,N/A,N/A,,,,,,https://www.otodom.pl/pl/oferta/55-7-m2-idealne-inwestycyjnie-na-nowym-miescie-ID4lO7F
3,pełna własność,do zamieszkania,1/1,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/3-pokoje-w-doskonalej-lokalizacji-z-klimatyzacja-ID4mtXg
3,N/A,do zamieszkania,5/5,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/71-41-m2-nowoczesne-na-zoliborzu-przy-rydygiera-ID4mEUy
4,pełna własność,do wykończenia,4/6,"balkon, taras",garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/piekne-mieszkanie-z-oddzielna-kuchnia-bez-pcc-ID4ncEf
2,pełna własność,do wykończenia,parter/8,"taras, ogródek",garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-44m2-ogrodek-ID4kg33
3,pełna własność,do wykończenia,2/8,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-55m2-balkon-ID4kg2P
4,pełna własność,do wykończenia,1/8,taras,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/4-pokojowe-mieszkanie-81m2-taras-bezposrednio-ID4kg3d
6,N/A,do zamieszkania,1/5,"balkon, taras",garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/luksusowy-apartament-przy-lazienkach-krolewskich-ID4dfFZ
4,spółdzielcze wł. prawo do lokalu,do zamieszkania,2/4,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/mieszkanie-4-pokoje-85m2-balkon-8m2-grochow-ID4nevc
4,pełna własność,do zamieszkania,4/5,"balkon, taras",garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/stylowy-apartament-150-m2-przy-metrze-ID4fO1k
3,pełna własność,do zamieszkania,3/8,balkon,N/A,,,,,,https://www.otodom.pl/pl/oferta/bezposrednio-mieszkanie-3-pokoje-targowek-metro-ID4ldiL
3,pełna własność,do zamieszkania,3/5,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/wyjatkowy-apartament-na-osiedlu-azurowych-okiennic-ID4nsnu
5,pełna własność,do wykończenia,1/1,N/A,N/A,,,,,,https://www.otodom.pl/pl/oferta/nowoczesny-dwupoziomowy-apartament-113-5-m2-wawer-ID4ns1F
5,pełna własność,do wykończenia,1/1,N/A,N/A,,,,,,https://www.otodom.pl/pl/oferta/nowoczesny-dwupoziomowy-apartament-109-m2-wawer-ID4ns1H
3,pełna własność,do zamieszkania,parter/7,ogródek,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/nowe-trzypokojowe-z-ogrodem-bemowo-bezposrednio-ID4ng9P
6,N/A,do zamieszkania,2/2,"balkon, taras",garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/designerski-penthouse-na-mokotowie-pod-skocznia-ID4lWsz
3,pełna własność,N/A,3/8,N/A,N/A,,,,,,https://www.otodom.pl/pl/oferta/mieszkanie-warszawa-ochota-rakowiec-ID4mUp6
4,pełna własność,do zamieszkania,1/4,balkon,N/A,,,,,,https://www.otodom.pl/pl/oferta/4-pokojowe-mieszkanie-91-m2-sarmacka-ID4mLDU
4,pełna własność,do zamieszkania,4/10,N/A,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/apartament-na-muranowie-w-poblizu-ronda-radoslawa-ID4nsmu
4,pełna własność,do zamieszkania,9/14,N/A,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/czteropokojowe-120-m2-przy-jana-pawla-ii-ID48jGo
