title,price,area,link1,rooms_No,ownership_form,interior_state,balcony,parking_space,link2,street,nbrhood,district,city,vvdship,timestamp
Kawalerka w stanie deweloperskim z garażem,450000,32.0,https://www.otodom.pl/pl/oferta/kawalerka-w-stanie-deweloperskim-z-garazem-ID4nsXs,1,no data,do wykończenia,balkon,garaż/miejsce parkingowe,https://www.otodom.pl/pl/oferta/kawalerka-w-stanie-deweloperskim-z-garazem-ID4nsXs,no info,Czechowice, Ursus, Warszawa, mazowieckie,2023-10-10 12:28:55.058127
2-pokojowe mieszkanie 40m2 + balkon,Zapytaj o cenę,40.55,https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-40m2-balkon-ID4njkn,2,pełna własność,do wykończenia,balkon,garaż/miejsce parkingowe,https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-40m2-balkon-ID4njkn,ul. Gioacchino Rossiniego, Kobiałka, Białołęka, Warszawa, mazowieckie,2023-10-10 12:28:55.058127
Mieszkanie Włochy 40 m2,560000,40.0,https://www.otodom.pl/pl/oferta/mieszkanie-wlochy-40-m2-ID4nt53,3,no data,no data,no data,no data,https://www.otodom.pl/pl/oferta/mieszkanie-wlochy-40-m2-ID4nt53,no info,Nowe Włochy, Włochy, Warszawa, mazowieckie,2023-10-10 12:28:55.058127
Penthouse/100m2/piękny taras 60m2,2200000,100.0,https://www.otodom.pl/pl/oferta/penthouse-100m2-piekny-taras-60m2-ID4lRTG,4,pełna własność,do zamieszkania,taras,garaż/miejsce parkingowe,https://www.otodom.pl/pl/oferta/penthouse-100m2-piekny-taras-60m2-ID4lRTG,no info,Górce, Bemowo, Warszawa, mazowieckie,2023-10-10 12:28:55.058127
Mieszkanie 3 pokojowe 65m2 przy ul. Berensona,795000,65.45,https://www.otodom.pl/pl/oferta/mieszkanie-3-pokojowe-65m2-przy-ul-berensona-ID4ntmu,3,pełna własność,do zamieszkania,balkon,garaż/miejsce parkingowe,https://www.otodom.pl/pl/oferta/mieszkanie-3-pokojowe-65m2-przy-ul-berensona-ID4ntmu,Leona Berenosna, Grodzisk, Białołęka, Warszawa, mazowieckie,2023-10-10 12:28:55.058127
Apartament 164m / Mokotów / Ursynów (Fosa),2625000,164.0,https://www.otodom.pl/pl/oferta/apartament-164m-mokotow-ursynow-fosa-ID4lnhp,4,pełna własność,do zamieszkania,balkon,garaż/miejsce parkingowe,https://www.otodom.pl/pl/oferta/apartament-164m-mokotow-ursynow-fosa-ID4lnhp,ul. Fosa, Stary Służew, Ursynów, Warszawa, mazowieckie,2023-10-10 12:28:55.058127
21m+ taras 30m_!_Apartament z najemcą_3.500zł m-ce,340000,21.0,https://www.otodom.pl/pl/oferta/21m-taras-30m-apartament-z-najemca-3-500zl-m-ce-ID4n291,1,pełna własność,do zamieszkania,no data,no data,https://www.otodom.pl/pl/oferta/21m-taras-30m-apartament-z-najemca-3-500zl-m-ce-ID4n291,al. Aleje Jerozolimskie, Raków, Włochy, Warszawa, mazowieckie,2023-10-10 12:28:55.058127
"Do sprzedania Mieszkanie 2 pokoje 52,6m² Bielany",799000,52.6,https://www.otodom.pl/pl/oferta/do-sprzedania-mieszkanie-2-pokoje-52-6m-bielany-ID4n9pn,2,pełna własność,do zamieszkania,balkon,no data,https://www.otodom.pl/pl/oferta/do-sprzedania-mieszkanie-2-pokoje-52-6m-bielany-ID4n9pn,ul. Lucjana Rudnickiego 10, Huta, Bielany, Warszawa, mazowieckie,2023-10-10 12:28:55.058127
"Kasprowicza, przy metro Młociny, Prywatnie",700000,49.25,https://www.otodom.pl/pl/oferta/kasprowicza-przy-metro-mlociny-prywatnie-ID4ntqr,3,pełna własność,do zamieszkania,balkon,no data,https://www.otodom.pl/pl/oferta/kasprowicza-przy-metro-mlociny-prywatnie-ID4ntqr,ul. Jana Kasprowicza, Wrzeciono, Bielany, Warszawa, mazowieckie,2023-10-10 12:28:55.058127
"Meander 5, METRO Natolin, 4 pokoje, inwestycyjne",899000,68.8,https://www.otodom.pl/pl/oferta/meander-5-metro-natolin-4-pokoje-inwestycyjne-ID4nfe5,4,spółdzielcze wł. prawo do lokalu,do zamieszkania,balkon,no data,https://www.otodom.pl/pl/oferta/meander-5-metro-natolin-4-pokoje-inwestycyjne-ID4nfe5,ul. Meander, Natolin, Ursynów, Warszawa, mazowieckie,2023-10-10 12:28:55.058127
"3/4 pokoje do własnej aranżacji, bardzo widne",709000,56.9,https://www.otodom.pl/pl/oferta/3-4-pokoje-do-wlasnej-aranzacji-bardzo-widne-ID4nsX1,3,no data,do remontu,balkon,no data,https://www.otodom.pl/pl/oferta/3-4-pokoje-do-wlasnej-aranzacji-bardzo-widne-ID4nsX1,ul. Władysława Broniewskiego, Sady Żoliborskie, Żoliborz, Warszawa, mazowieckie,2023-10-10 12:28:55.058127
Mieszkanie Ursynów 48m2,720000,48.0,https://www.otodom.pl/pl/oferta/mieszkanie-ursynow-48m2-ID4nt51,2,no data,no data,no data,no data,https://www.otodom.pl/pl/oferta/mieszkanie-ursynow-48m2-ID4nt51,no info,Ursynów-Centrum, Ursynów, Warszawa, mazowieckie,2023-10-10 12:28:55.058127
